Year,Win%,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB
1943,0.5,519,28.6,3.91,2476,95111,84701,9687,21467,3467,757,905,8957,1010,775,8361,8544,0.253,0.323,0.344,0.667,29163,1879,327,1683,,601
1942,0.5,512,27.9,4.08,2448,93964,83731,9995,21176,3477,723,1071,9187,961,719,8393,8325,0.253,0.323,0.35,0.674,29312,1755,339,1473,,643
1941,0.5,546,27.9,4.49,2488,96493,85854,11168,22531,3958,867,1331,10327,882,674,8886,8828,0.262,0.334,0.375,0.709,32216,1866,312,1432,,706
1940,0.5,514,27.9,4.68,2472,95912,86003,11568,23002,4101,929,1571,10702,953,333,8273,9049,0.267,0.334,0.392,0.726,33674,1827,358,1266,,
1939,0.5,533,28.1,4.82,2462,95916,84879,11876,23371,4139,916,1445,11041,957,345,8478,8501,0.275,0.344,0.397,0.74,33677,1946,353,2192,,
1938,0.5,502,28.4,4.89,2446,95367,85013,11969,23293,4046,935,1475,11237,896,325,8632,8335,0.274,0.343,0.396,0.739,33634,,348,1354,,
1937,0.5,498,28.3,4.87,2478,96159,85963,12070,23769,4216,997,1430,11206,1021,337,8443,9001,0.277,0.343,0.399,0.742,34269,,322,1420,,
1936,0.5,481,28.4,5.19,2476,97895,87638,12846,24863,4471,979,1364,11929,963,320,8418,8235,0.284,0.349,0.404,0.753,35384,,413,1415,,
1935,0.5,484,28.2,4.9,2456,96206,86437,12025,24074,4265,987,1325,11162,883,329,7834,8004,0.279,0.341,0.397,0.738,34288,,382,1549,,
1934,0.5,487,28.5,4.91,2446,95570,85911,12001,23962,4314,882,1344,11219,909,315,7855,8432,0.279,0.342,0.397,0.738,34072,,342,1455,,
1933,0.5,460,28.6,4.48,2452,94643,85222,10989,22969,3945,967,1067,10213,860,376,7344,7444,0.27,0.33,0.376,0.706,32049,,351,1698,,
1932,0.5,491,28.5,4.91,2466,96598,87182,12115,24106,4579,1072,1358,11287,990,410,7549,7878,0.277,0.337,0.4,0.737,34903,,367,1479,,
1931,0.5,492,28.4,4.81,2472,96128,86614,11891,24046,4508,1070,1069,11048,1088,452,7679,7894,0.278,0.339,0.391,0.731,33901,,381,1437,,
1930,0.5,493,28.2,5.55,2468,97262,86571,13695,25597,4756,1282,1565,12742,1080,423,7654,7934,0.296,0.356,0.434,0.79,37612,,408,2606,,
1929,0.5,510,28.4,5.19,2458,96361,85210,12748,24642,4482,1166,1349,11793,1334,509,7992,6982,0.289,0.353,0.417,0.77,35503,,407,2713,,
1928,0.5,505,28.4,4.73,2462,95643,84480,11650,23736,4223,1138,1093,10746,1268,484,7668,7099,0.281,0.344,0.397,0.741,33514,,454,2985,,
1927,0.5,512,28.9,4.75,2472,95602,84461,11746,23960,4148,1150,922,10757,1437,511,7447,6889,0.284,0.345,0.393,0.738,33174,,480,3183,,
1926,0.5,502,28.6,4.64,2468,95182,83762,11443,23505,4142,1157,863,10464,1275,500,7703,6777,0.281,0.345,0.389,0.733,32550,,484,3200,,
1925,0.5,526,28.6,5.13,2456,96281,85432,12595,24914,4337,1171,1169,11424,1388,1103,7744,6665,0.292,0.354,0.411,0.765,35100,,495,2555,,
1924,0.5,529,28.6,4.76,2462,95391,84670,11718,24271,4081,1175,896,10602,1501,1247,7364,6643,0.287,0.348,0.394,0.742,33390,,553,2704,,
1923,0.5,513,28.3,4.81,2466,96254,85232,11871,24218,3922,1142,980,10664,1567,1258,7563,7021,0.284,0.347,0.391,0.738,33364,,605,2733,,
1922,0.5,497,28.5,4.87,2476,96217,85346,12057,24613,3944,1248,1055,10808,1451,1165,7253,6950,0.288,0.348,0.401,0.749,34218,,598,2958,,
1921,0.5,492,28.1,4.85,2458,95658,85172,11928,24782,3981,1364,937,10709,1487,1317,6847,6959,0.291,0.348,0.403,0.75,34302,,551,2986,,
1920,0.5,495,28.1,4.36,2468,94704,84179,10761,23275,3609,1265,630,9345,1720,1563,6820,7247,0.276,0.335,0.372,0.707,31304,,561,3042,,
1919,0.5,479,28.2,3.88,2236,83984,74672,8665,19624,2922,1048,447,7423,2081,,5982,6849,0.263,0.322,0.348,0.67,25983,,531,2718,,
1918,0.5,489,28.1,3.63,2032,76036,67315,7385,17085,2323,885,235,6216,2003,,5749,5925,0.254,0.317,0.325,0.642,21883,,461,2446,,
1917,0.5,490,27.3,3.59,2494,92723,82055,8949,20391,2909,1138,335,7587,2413,,6910,8680,0.249,0.311,0.324,0.635,26581,,579,3079,,
1916,0.5,527,27.3,3.56,2494,92552,81924,8889,20285,2995,1141,383,7533,2753,836,7076,9534,0.248,0.312,0.326,0.638,26711,,640,2829,,
1915,0.5,733,27.4,3.81,3728,138303,121704,14213,30460,4532,1769,635,11980,4106,2046,11120,14020,0.25,0.318,0.332,0.65,40435,,1015,4441,,
1914,0.5,740,27.2,3.86,3760,139036,122587,14531,31129,4625,1739,710,12222,4573,1370,11143,14764,0.254,0.321,0.337,0.659,41362,,991,4188,,
