Tm,Pitching,Hitting,SumW,W,L,Pitching,Both,80% P + 20% H,,,,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
LAD,100,97,197,92,71,8,#REF!,#REF!,,,,0.564,3.38,163,163,163,0,11,0,48,1476,1279,610,554,179,422,39,1565,61,10,39,6096,115,3.6,1.152,7.8,1.1,2.6,9.5,3.71,1058
MIA,66,57,123,63,98,3,#REF!,#REF!,,,,0.391,4.76,161,161,160,1,12,0,30,1442,1388,809,762,192,605,73,1249,71,6,47,6236,77,4.57,1.382,8.7,1.2,3.8,7.8,2.06,1101
MIL,91,88,179,96,67,-5,#REF!,#REF!,,,,0.589,3.73,163,163,163,0,14,0,49,1461,1259,659,606,173,553,34,1428,61,5,50,6114,110,4.01,1.24,7.8,1.1,3.4,8.8,2.58,1072
MIN,72,80,152,78,84,-6,#REF!,#REF!,,,,0.481,4.5,162,162,160,2,7,1,37,1443.1,1425,775,721,198,573,34,1377,80,0,59,6287,98,4.39,1.384,8.9,1.2,3.6,8.6,2.4,1182
NYM,83,72,155,77,85,6,#REF!,#REF!,,,,0.475,4.07,162,162,159,3,15,1,41,1460.2,1364,707,661,185,484,32,1446,71,2,26,6178,91,3.97,1.265,8.4,1.1,3,8.9,2.99,1089
NYY,90,100,190,100,62,-10,#REF!,#REF!,,,,0.617,3.78,162,162,160,2,11,2,49,1456.1,1311,669,611,177,494,9,1634,58,4,73,6141,116,3.63,1.239,8.1,1.1,3.1,10.1,3.31,1103
OAK,89,94,183,97,65,-8,#REF!,#REF!,,,,0.599,3.81,162,162,160,2,14,2,44,1465.2,1303,674,621,184,474,19,1237,53,2,86,6099,109,4.18,1.212,8,1.1,2.9,7.6,2.61,1028
PHI,81,74,155,80,82,1,#REF!,#REF!,,,,0.494,4.14,162,162,162,0,12,0,44,1445.2,1366,728,665,171,500,35,1465,60,7,81,6138,101,3.83,1.291,8.5,1.1,3.1,9.1,2.93,1073
PIT,85,80,165,82,79,3,#REF!,#REF!,,,,0.509,4,161,161,158,3,16,2,40,1434,1380,693,637,174,497,43,1336,69,6,95,6144,97,4.06,1.309,8.7,1.1,3.1,8.4,2.69,1149
SDP,75,63,138,66,96,9,#REF!,#REF!,,,,0.407,4.4,162,162,162,0,5,0,36,1457,1430,767,713,185,519,28,1399,68,4,52,6254,88,4.1,1.338,8.8,1.1,3.2,8.6,2.7,1116
SEA,81,79,160,89,73,-8,#REF!,#REF!,,,,0.549,4.13,162,162,159,3,12,1,60,1448.2,1396,711,664,195,400,21,1328,72,3,57,6073,99,4.05,1.24,8.7,1.2,2.5,8.3,3.32,1016
SFG,86,60,146,73,89,13,#REF!,#REF!,,,,0.451,3.95,162,162,161,1,15,1,36,1461.1,1387,699,641,156,524,37,1269,45,4,44,6191,99,3.98,1.308,8.5,1,3.2,7.8,2.42,1108
