Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
140,James Madison,31,13,18,0.419,-8.19,-3.71,6,12,8,6,4,11,2181,2260,,66.1,103.9,0.328,0.368,0.539,50.7,49.5,9.2,8.7,0.505,16.4,30.4,0.236
141,Kansas State,30,23,7,0.767,15.35,8.78,13,4,12,2,7,5,1975,1778,,65,101.3,0.317,0.375,0.525,51.2,57.9,11.3,7.7,0.498,15.6,28,0.212
142,Kansas,30,22,8,0.733,18.3,12.9,11,6,15,0,3,8,2266,2104,,70.6,105.7,0.33,0.362,0.557,51.4,49.1,9.5,10.3,0.529,16.5,28.9,0.23
143,Kennesaw State,32,6,26,0.188,-16.01,-0.87,3,13,6,8,0,15,2030,2455,,70.9,89.1,0.303,0.225,0.456,48.7,48.9,8.1,8.7,0.416,16.4,29.4,0.211
144,Kent State,30,21,9,0.7,2.2,0.95,10,7,13,3,8,6,2255,2176,,69.5,107.3,0.33,0.376,0.534,50.9,50,9.9,10.3,0.499,14.3,33.4,0.237
145,Kentucky,30,25,5,0.833,21.67,10,14,3,16,1,8,2,2315,1965,,68.3,112.5,0.427,0.307,0.575,56.5,51.9,8.9,14.2,0.534,16,36.5,0.315
146,La Salle,29,9,20,0.31,-3.06,2.04,7,10,4,9,3,8,1962,2110,,69.8,96.9,0.284,0.43,0.513,48.8,53.3,10.8,8.4,0.473,17.8,28.6,0.218
147,Lafayette,30,10,20,0.333,-10.76,-4.52,7,11,4,11,6,9,2209,2349,,70.4,102.9,0.245,0.412,0.554,48.3,52.2,7.3,10.7,0.528,16.8,22.6,0.182
148,Lamar,30,18,12,0.6,-5.76,-6.3,11,6,12,2,6,10,2361,2109,,71.5,108.2,0.428,0.338,0.548,54.7,53.6,12.2,8.7,0.513,17,37.1,0.293
149,Lehigh,30,20,10,0.667,-1.35,-4.28,12,6,10,3,9,7,2404,2316,,72.3,110,0.345,0.385,0.601,50.6,55,7.5,6.4,0.566,16.8,23.9,0.266
150,Liberty,33,27,6,0.818,4.65,-5.39,14,2,15,1,10,3,2442,1998,,65.3,113.3,0.26,0.437,0.597,51.8,54.8,10,8.3,0.571,15.2,26,0.2
151,Lipscomb,31,25,6,0.806,8.95,-3.19,14,2,13,2,11,4,2602,2135,,75.2,111.6,0.371,0.394,0.591,53.4,59.9,10.2,7.6,0.556,15.9,27.1,0.279
152,Long Beach State,32,14,18,0.438,-4.42,-0.22,8,8,9,5,4,12,2410,2443,,73.7,101,0.41,0.313,0.526,48.9,46.6,8.4,7.7,0.486,16.6,29.1,0.284
153,Long Island University,31,16,15,0.516,-8.2,-8.57,9,9,8,5,7,8,2309,2265,,73.2,101.4,0.347,0.428,0.545,50.2,52.1,9.5,12,0.512,17.8,27.6,0.245
154,Longwood,32,15,17,0.469,-9.61,-7.2,5,11,9,5,5,11,2228,2243,,68.9,99.9,0.345,0.501,0.545,50.8,49.1,8.9,7.4,0.509,18.3,24.7,0.252
155,Louisiana,30,18,12,0.6,-1.5,-0.82,9,8,10,4,5,7,2453,2418,,75.4,108.1,0.357,0.408,0.555,48.3,52.7,9.4,9.8,0.516,15.4,29.6,0.267
156,Louisiana-Monroe,29,15,14,0.517,0.14,-1.58,8,9,12,2,3,11,2269,2179,,69.3,111.9,0.372,0.432,0.579,49,52.3,8.4,5.6,0.538,14.3,26.8,0.288
157,Louisiana State,30,25,5,0.833,17.19,8.89,15,2,14,2,9,1,2451,2202,,70.9,112,0.389,0.342,0.559,53.2,45.8,12.8,12.2,0.514,15.4,37.1,0.295
158,Louisiana Tech,31,19,12,0.613,1.44,-2.04,9,9,15,1,4,10,2273,2122,,68.4,105.9,0.358,0.392,0.533,50.8,52.3,8.4,10.4,0.505,14.6,30.1,0.237
159,Louisville,30,19,11,0.633,18.28,11.02,10,7,14,4,5,5,2247,2029,,68.7,107.2,0.366,0.433,0.556,52.5,53.6,6.7,7.7,0.512,15.8,29,0.283
160,Loyola (IL),31,19,12,0.613,4.53,0.03,12,6,13,4,5,6,2052,1889,,63.7,104,0.342,0.337,0.579,51,55.7,10.1,7.4,0.558,17.4,20.1,0.229
161,Loyola Marymount,30,20,10,0.667,3.6,1.53,8,8,11,4,7,6,2029,1883,,65.4,103.4,0.381,0.284,0.545,52.8,56.3,11.1,10.5,0.501,17.2,30.8,0.285
162,Loyola (MD),32,11,21,0.344,-8.65,-4.12,7,11,7,5,3,16,2332,2477,,70.4,102.4,0.336,0.336,0.548,48.3,53.2,12.2,6.2,0.516,17.3,27.3,0.239
163,Maine,31,5,26,0.161,-14.58,-3.85,3,13,3,9,2,17,1931,2198,,64.8,93.8,0.261,0.374,0.51,49,63.4,11.5,10.9,0.489,19.1,26.4,0.168
164,Manhattan,31,11,20,0.355,-12.37,-6.75,8,10,4,9,4,11,1768,1942,,62.8,90.8,0.331,0.41,0.493,48.9,55.3,10.9,8.8,0.474,20.9,29.2,0.192
165,Marist,31,12,19,0.387,-9.03,-7.06,7,11,4,7,6,11,2086,2147,,65.6,101.8,0.322,0.41,0.549,48.8,51,8.4,6.2,0.523,16.9,24.2,0.22
166,Marquette,30,23,7,0.767,16.12,7.55,12,5,16,2,6,4,2316,2059,,70.4,108.3,0.338,0.415,0.583,53.1,51.4,6.9,11.8,0.547,17.6,28.5,0.259
167,Marshall,30,17,13,0.567,-1.72,0.55,10,7,11,3,6,10,2416,2484,,76.4,104.1,0.306,0.448,0.548,43.7,50.1,11.8,11.2,0.516,14.6,22.9,0.222
168,Maryland-Baltimore County,31,19,12,0.613,-5.52,-5.67,11,5,11,4,6,7,2095,1972,,66.1,99.8,0.295,0.427,0.53,50.2,55.1,11.6,9,0.504,16.5,25.5,0.202
169,Maryland-Eastern Shore,31,7,24,0.226,-23.73,-7.18,5,11,4,7,2,17,1779,2228,,65.6,87.1,0.291,0.354,0.474,45.5,54.6,8.7,7.5,0.442,18.4,23.4,0.196
170,Maryland,30,21,9,0.7,17.03,10.37,12,7,14,3,6,5,2153,1953,,66.4,108.1,0.33,0.371,0.559,56.4,51.9,6.5,13.1,0.524,17.2,34.3,0.245
171,Massachusetts-Lowell,31,15,16,0.484,-7.61,-6.51,7,9,8,5,5,11,2386,2342,,72.2,105.8,0.347,0.392,0.569,49.8,57.5,7.8,6.8,0.538,17.3,27.1,0.25
172,Massachusetts,30,11,19,0.367,-1.81,0.46,4,13,9,8,1,10,2124,2192,,68.4,103.1,0.317,0.396,0.539,52.2,59.3,7.2,7.8,0.511,17.3,31.4,0.218
173,McNeese State,30,9,21,0.3,-13.41,-5.79,5,12,7,8,2,13,2091,2220,,68.5,101.3,0.39,0.324,0.545,50.9,56.5,6.9,8.8,0.506,18.6,30.6,0.279
174,Memphis,30,18,12,0.6,10.01,4.65,10,7,14,2,3,7,2455,2294,,76.2,106.6,0.376,0.359,0.555,51.5,54.6,10.5,10.5,0.521,17.1,33.3,0.266
175,Mercer,30,11,19,0.367,-2.38,-0.06,6,12,9,6,2,12,2174,2161,,69.1,104.4,0.373,0.383,0.546,49.3,50.3,9.5,8.7,0.515,16.5,29.1,0.255
176,Miami (FL),29,13,16,0.448,10.59,9.11,5,12,11,5,0,9,2092,2049,,68.8,104.4,0.308,0.435,0.543,47.8,51.1,9.8,8.9,0.509,15.2,26,0.227
177,Miami (OH),30,15,15,0.5,2.47,2.75,7,10,10,5,4,8,2159,2087,,68.7,104.3,0.338,0.447,0.54,51.9,45.4,8.6,8.7,0.506,16.1,29.4,0.241
178,Michigan State,30,24,6,0.8,25.34,11.47,15,4,14,1,8,4,2396,1980,,68.9,115,0.344,0.375,0.593,55.7,68.4,7.7,14,0.562,16.1,34.5,0.256
179,Michigan,30,26,4,0.867,22.28,9.91,15,4,17,1,7,3,2120,1749,,65.5,107.8,0.289,0.398,0.546,50.7,52.3,9.3,10.5,0.52,12.3,25.1,0.2
180,Middle Tennessee,30,10,20,0.333,-5.36,2.43,7,10,8,5,2,11,2032,2196,,70.7,95.8,0.302,0.342,0.508,52.4,44.9,8.6,7.5,0.479,19.5,32.2,0.205
181,Milwaukee,31,9,22,0.29,-8.61,-2.21,4,14,6,8,3,12,2146,2315,,68.9,100,0.279,0.38,0.521,49.3,46.4,6.8,9.4,0.485,15.6,26,0.208
182,Minnesota,30,19,11,0.633,13.33,10.53,9,10,14,3,2,8,2146,2062,,68.5,104.4,0.43,0.291,0.523,52.6,58.9,7.2,10.9,0.485,15.2,32.6,0.291
183,Mississippi State,30,21,9,0.7,16.38,9.45,9,8,13,3,5,5,2304,2096,,68.6,111,0.332,0.383,0.57,52.7,51,12,14.1,0.54,16.6,34.6,0.239
184,Mississippi Valley State,31,6,25,0.194,-21.37,-6.5,4,13,6,5,0,20,2001,2407,,70.8,90.8,0.337,0.291,0.463,47.6,49.5,7.9,6,0.426,15.6,28.3,0.222
185,Mississippi,30,19,11,0.633,13.63,8.27,9,8,11,5,5,5,2283,2122,,69.5,109,0.324,0.394,0.572,51.8,54.9,10.7,9.5,0.534,16.3,31.3,0.253
186,Missouri-Kansas City,30,10,20,0.333,-6,-0.31,5,10,8,5,2,13,2080,2209,,68.6,100.2,0.332,0.402,0.536,45.2,46.3,10.6,8,0.505,16.1,23.8,0.232
187,Missouri State,31,16,15,0.516,-0.79,-0.73,10,8,11,4,5,9,2148,2096,,66.8,103.4,0.369,0.377,0.55,49.9,46.3,10.4,12.2,0.518,16.2,26.3,0.256
188,Missouri,29,14,15,0.483,8.85,9.3,5,12,9,6,2,8,1940,1953,,66.1,100.4,0.293,0.416,0.53,53,47.2,7,5.2,0.502,18.4,32.3,0.203
189,Monmouth,32,12,20,0.375,-10.53,-4.19,10,8,6,6,5,11,2055,2258,,68.4,92.4,0.403,0.297,0.495,49.8,49.2,9.9,11.2,0.451,18.4,28.8,0.277
190,Montana State,29,14,15,0.483,-6.94,-4.84,11,8,9,4,4,10,2263,2307,,72.3,107.9,0.348,0.427,0.565,49.8,56.2,7.7,4.5,0.531,15.3,25.9,0.256
191,Montana,30,22,8,0.733,1.01,-5.27,15,4,12,2,8,4,2299,2071,,68.6,111.3,0.333,0.383,0.586,52.1,51.5,9.3,8.3,0.565,15.5,27.8,0.227
192,Morehead State,33,13,20,0.394,-7.68,-1.72,8,10,7,7,4,11,2431,2543,,70.6,103.2,0.328,0.382,0.528,48.8,51.5,7.9,10.8,0.494,14.9,29,0.231
193,Morgan State,29,9,20,0.31,-15.1,-9.91,4,12,6,6,2,13,2088,2223,,73.8,96.7,0.352,0.273,0.485,47.3,47.4,10.1,4.5,0.44,15.5,31.9,0.251
194,Mount St. Mary's,31,9,22,0.29,-13.97,-5.42,6,12,4,9,5,13,2092,2286,,69.5,97.1,0.338,0.412,0.513,47.4,48.3,6.8,9.7,0.481,16.8,26.4,0.23
195,Murray State,29,25,4,0.862,8.59,-5.08,16,2,15,1,10,3,2429,1962,,71.7,116.8,0.328,0.372,0.592,52.5,60.2,10.9,12.1,0.563,14.6,32.3,0.243
196,Navy,30,12,18,0.4,-9.8,-3.83,8,10,8,6,3,12,1991,2170,,68.3,97.1,0.307,0.367,0.504,52.5,54.7,7.9,5.8,0.468,17.7,31.4,0.219
197,Omaha,29,19,10,0.655,-1.63,-2.95,13,3,10,2,9,8,2318,2245,,70.5,112.5,0.237,0.363,0.572,48.9,44.2,8,5.6,0.551,11.9,24.7,0.17
198,Nebraska,30,15,15,0.5,15.82,11.58,5,14,11,5,2,9,2142,1978,,67.3,106.1,0.321,0.377,0.523,48.3,50.8,10.5,10.7,0.49,12.4,28.5,0.225
199,Nevada-Las Vegas,29,16,13,0.552,2.16,0.89,10,7,10,6,5,5,2156,2119,,69.3,106.4,0.356,0.404,0.531,53.6,50.3,8.8,9.7,0.499,15.8,36.1,0.244
200,Nevada,30,27,3,0.9,17.15,2.65,14,3,14,0,9,3,2448,2013,,71.3,114.4,0.405,0.427,0.576,51.1,55.2,9,11.3,0.541,12.5,26.4,0.291
201,New Hampshire,29,5,24,0.172,-18.11,-5.48,3,13,4,10,1,14,1742,1990,,67.1,89.5,0.232,0.475,0.474,47.8,52.2,6,5.5,0.455,16.2,23.2,0.142
202,New Mexico State,30,26,4,0.867,9.67,-1.87,14,1,15,1,10,1,2328,1940,,68.3,113.1,0.347,0.457,0.556,56.9,53.4,8.6,7.7,0.53,14.8,37.4,0.235
203,New Mexico,29,13,16,0.448,0.26,2.48,7,10,9,7,4,8,2201,2207,,74,102.6,0.382,0.442,0.54,50.1,54.3,9.1,9,0.504,17.1,28.9,0.267
204,New Orleans,29,17,12,0.586,-8.49,-6.33,12,6,12,3,5,9,2080,2005,,71.1,99.1,0.352,0.289,0.525,49.8,58,12.6,11.5,0.492,18.9,33,0.242
205,Niagara,32,13,19,0.406,-10.98,-7.41,6,12,8,8,5,10,2318,2432,,70.4,102.6,0.333,0.391,0.53,49.8,43.1,5.7,10.2,0.492,15.1,26.6,0.245
206,Nicholls State,30,13,17,0.433,-11.77,-6.46,6,11,8,4,3,13,2191,2239,,71.5,101.2,0.218,0.46,0.535,45.6,53.3,9.2,10.3,0.507,15.6,24,0.167
207,NJIT,33,21,12,0.636,-3.33,-4.55,8,8,10,4,11,7,2310,2238,,68.9,100.8,0.389,0.373,0.548,48.9,44.7,9.2,7.6,0.51,16.3,21.4,0.28
208,Norfolk State,31,19,12,0.613,-8.06,-9.13,14,2,11,1,8,7,2312,2156,,72.3,101.9,0.393,0.371,0.55,50.4,51.5,8,13.5,0.512,18.1,27.5,0.282
209,North Alabama,32,10,22,0.313,-10.88,-1.56,7,9,8,4,2,18,2145,2358,,71.1,93.9,0.323,0.421,0.486,49.4,44.9,9.2,6.5,0.451,16.5,27.5,0.218
210,North Carolina-Asheville,31,4,27,0.129,-19.58,-2.11,2,14,3,10,1,15,1857,2313,,64.2,92.9,0.269,0.422,0.506,46.5,50.5,9.8,9,0.471,19.9,29.1,0.199
211,North Carolina A&T,30,18,12,0.6,-10.67,-9.17,13,3,10,2,7,10,2096,2065,,68.1,102.1,0.304,0.364,0.547,47.6,54.3,9.8,9,0.526,17,26.8,0.2
212,North Carolina Central,30,15,15,0.5,-11.67,-10.63,10,6,10,2,4,11,2165,2021,,69.2,103.8,0.33,0.359,0.546,54.8,60,9.2,7.7,0.513,18.9,35.2,0.237
213,North Carolina-Greensboro,31,26,5,0.839,4.31,-1.62,15,3,14,1,11,4,2384,2086,,70.1,109.3,0.299,0.375,0.551,50.7,46.6,12.7,11.8,0.525,14.5,31.8,0.208
214,North Carolina State,30,20,10,0.667,16.28,6.24,8,9,15,4,3,6,2439,2138,,72.4,111.4,0.293,0.36,0.555,53,52.5,10.4,10.1,0.528,15.1,36,0.208
215,North Carolina-Wilmington,31,9,22,0.29,-7.41,-1.41,5,13,5,9,2,12,2363,2504,,70.3,107.1,0.338,0.382,0.544,52.7,56.5,6.4,5.5,0.508,16.1,32.6,0.246
216,North Carolina,30,25,5,0.833,24.96,11.23,15,2,13,2,11,1,2605,2193,,76.2,113.4,0.317,0.358,0.567,56.6,62.3,9.7,9.8,0.535,15,34.9,0.236
217,North Dakota State,30,15,15,0.5,-4.31,-1.77,9,7,10,3,4,9,2181,2173,,67.3,107.2,0.307,0.475,0.571,49.1,46.7,7.3,6.1,0.535,14.7,21.2,0.239
218,North Dakota,29,12,17,0.414,-8.47,-3.23,6,10,8,6,4,11,2144,2115,,71.6,103.2,0.271,0.367,0.554,49.1,49.2,8.1,7.4,0.531,16.2,22.8,0.189
219,North Florida,33,16,17,0.485,-3.32,-0.54,9,7,10,3,5,12,2485,2531,,74,101.3,0.268,0.445,0.547,49.8,57.6,8.6,10.8,0.524,19.1,30.3,0.185
220,North Texas,30,20,10,0.667,1.03,-3.2,8,9,12,4,6,6,2122,1880,,67.3,104.7,0.279,0.435,0.541,53,49.8,9.7,7.1,0.518,16.5,30.9,0.188
221,Northeastern,30,20,10,0.667,4.55,-0.78,14,4,11,2,8,6,2279,2119,,66.3,112.2,0.345,0.46,0.603,49.7,54.3,9.2,6,0.571,15.4,22.4,0.26
222,Northern Arizona,29,9,20,0.31,-10.58,-5.79,7,12,5,7,4,13,2113,2252,,70.2,103.3,0.338,0.411,0.535,48.1,48.6,9,6.7,0.503,14.8,25.3,0.236
223,Northern Colorado,30,21,9,0.7,-2.3,-6.4,15,4,10,2,10,5,2308,2057,,68.6,111.3,0.34,0.458,0.577,52.6,49.8,7.9,7.3,0.548,15.5,29.4,0.243
224,Northern Illinois,30,14,16,0.467,2.07,1.32,7,10,9,6,4,9,2215,2148,,68.6,106.3,0.283,0.324,0.554,51.3,41.8,7.9,7.3,0.526,15.6,27.9,0.206
225,Northern Iowa,31,14,17,0.452,-1.39,1.06,9,9,9,5,3,9,2040,2057,,66,99.8,0.306,0.439,0.532,49.8,48.6,7.4,6.7,0.496,16,23.2,0.228
226,Northern Kentucky,32,24,8,0.75,4.64,-3.23,13,5,17,1,7,7,2549,2209,,69.9,113,0.371,0.418,0.582,53.5,60.4,8.8,11.2,0.56,15.6,31.8,0.249
227,Northwestern State,30,11,19,0.367,-16.66,-5.44,6,11,8,6,3,13,1988,2210,,70.8,92.9,0.338,0.362,0.497,47.9,47.1,8.7,12,0.463,19.6,29.6,0.228
228,Northwestern,30,13,17,0.433,11,9.54,4,15,10,7,1,9,1982,1938,,67,98.2,0.309,0.401,0.506,48.5,61.4,8.2,11.3,0.467,14.3,24.6,0.226
229,Notre Dame,30,13,17,0.433,9.24,8.98,3,14,11,8,1,8,2082,2074,,66.9,103.7,0.299,0.443,0.507,48.3,54.1,8.6,11.9,0.467,12.2,28.7,0.224
230,Oakland,32,16,16,0.5,-2.21,-1.43,11,7,10,6,6,10,2471,2451,,69.8,110.1,0.359,0.437,0.586,47.1,66.6,8.3,7.5,0.552,16.2,25.2,0.267
231,Ohio State,30,18,12,0.6,14.41,10.35,8,11,12,5,4,7,2082,1960,,66.6,104.2,0.351,0.397,0.543,51.2,57.5,8.6,7.3,0.505,16.4,28.3,0.257
232,Ohio,29,13,16,0.448,-1.35,3.65,5,12,10,5,3,9,2047,2151,,71.7,97.2,0.318,0.344,0.513,50.9,56.4,9.2,10.2,0.492,17.5,29.2,0.197
233,Oklahoma State,30,11,19,0.367,7.92,11.76,4,13,7,7,2,10,2023,2138,,67,100.2,0.31,0.418,0.527,48.9,55.6,8.3,12.2,0.498,16.1,26.7,0.213
234,Oklahoma,30,19,11,0.633,15.73,12.07,7,10,11,4,5,6,2153,2043,,70.1,102,0.324,0.338,0.533,50.7,49.4,8.4,8.9,0.504,15.5,26.5,0.223
235,Old Dominion,30,23,7,0.767,4.66,-1.67,13,4,14,2,8,3,2022,1832,,65.8,102.4,0.302,0.381,0.51,53.7,54,8.9,14.1,0.484,15.2,32.4,0.197
236,Oral Roberts,31,11,20,0.355,-8.88,-1.64,7,9,7,6,3,13,2241,2397,,69.3,103.9,0.258,0.391,0.549,52,50.4,6.8,9.5,0.527,17.6,30,0.179
237,Oregon State,29,17,12,0.586,8.53,4.5,9,8,10,5,5,5,2132,2015,,67.2,108.4,0.362,0.367,0.563,51.9,58.7,8.7,15.2,0.526,16.2,30.8,0.268
238,Oregon,30,18,12,0.6,11.3,5.07,9,8,13,4,4,7,2115,1928,,66.2,106,0.301,0.397,0.547,51,54,11.4,14.2,0.517,15.3,28.9,0.217
239,Pacific,32,14,18,0.438,-1.96,2.48,4,12,9,7,5,10,2138,2241,,66.7,99.4,0.414,0.336,0.532,51.2,45.4,9.1,5,0.482,17.4,27,0.31
240,Penn State,30,13,17,0.433,13.05,12.31,6,13,8,6,3,9,2085,2063,,68.3,101,0.327,0.367,0.51,51.5,48.6,11.1,10.7,0.475,15.5,31.4,0.227
241,Pennsylvania,28,17,11,0.607,2.22,-0.52,5,7,8,4,8,5,2057,1934,,69.6,103.3,0.293,0.444,0.55,50,57.2,9.3,6,0.533,16.2,24.9,0.185
242,Pepperdine,31,14,17,0.452,0.45,-0.05,6,10,9,5,2,11,2341,2292,,70.8,105.9,0.365,0.42,0.561,47.3,55.7,9.5,8.5,0.519,15.8,24.9,0.278
243,Pittsburgh,30,12,18,0.4,8.48,7.14,2,15,10,7,0,11,2111,2071,,69.2,100.9,0.432,0.371,0.523,49.8,50.6,9.9,11,0.481,17,31.5,0.301
244,Portland State,30,15,15,0.5,-8.64,-5.46,10,9,10,4,3,10,2320,2243,,72.2,106.2,0.374,0.377,0.524,54.6,51,11.5,11.2,0.486,16.1,38.4,0.263
245,Portland,32,7,25,0.219,-10.23,1.08,0,16,6,11,1,12,2078,2389,,68.4,94.2,0.391,0.389,0.513,46.3,52.2,7.9,11.1,0.477,17.3,21.1,0.262
246,Prairie View,30,18,12,0.6,-8.27,-8.27,16,1,8,0,9,12,2194,2178,,72.3,101.1,0.415,0.334,0.519,46.6,49.5,11.6,4.7,0.483,15.6,29.8,0.276
247,Presbyterian,33,18,15,0.545,-3.04,-5.17,9,7,12,3,6,11,2601,2389,,69.5,112.9,0.323,0.479,0.572,49.7,58.3,8.4,6.2,0.542,12.5,26.1,0.235
248,Princeton,25,16,9,0.64,-2.44,-0.96,8,4,7,3,8,5,1749,1720,,69.3,99.5,0.303,0.406,0.515,50.1,43.4,8.8,7.1,0.476,15.4,26.4,0.226
249,Providence,30,16,14,0.533,8.26,6.89,6,11,10,6,5,6,2131,2090,,68.7,101.3,0.388,0.344,0.512,50.9,58.6,10.5,10.8,0.474,15.8,32,0.265
250,Purdue,30,22,8,0.733,21.84,12.21,15,4,15,0,5,6,2295,2006,,66.5,114.1,0.295,0.448,0.56,53.7,53,9.8,13.3,0.531,13.7,35.1,0.215
251,Quinnipiac,29,16,13,0.552,-5.63,-7.56,11,7,7,7,9,5,2121,2065,,67.5,105.7,0.376,0.532,0.557,50.9,54,7.6,5.2,0.522,17.1,29.3,0.269
252,Radford,31,21,10,0.677,1.9,-1.64,12,4,11,2,9,7,2312,2117,,66.8,110.8,0.277,0.39,0.564,52.7,53.1,8.9,10,0.54,14.3,29.5,0.198
253,Rhode Island,29,15,14,0.517,2.59,1.63,8,9,8,5,5,7,1997,1969,,68.5,99.3,0.371,0.329,0.503,51.4,48.7,10.5,11.8,0.467,15.4,31.1,0.249
254,Rice,30,13,17,0.433,-5.32,-1.4,8,9,9,6,4,11,2232,2321,,71.9,101.4,0.389,0.427,0.538,51.3,53,7,8.7,0.505,16.5,26.2,0.265
255,Richmond,30,12,18,0.4,-1.11,-0.64,6,11,7,9,4,7,2125,2139,,67,105.7,0.316,0.406,0.568,45.2,60.5,11.6,8.5,0.549,14.5,18.6,0.21
256,Rider,30,16,14,0.533,-4.2,-6,11,7,9,3,6,10,2300,2246,,74.4,102.6,0.404,0.344,0.529,50.2,53.8,12.4,10.1,0.506,15.7,29.9,0.248
257,Robert Morris,32,17,15,0.531,-9.22,-7.32,11,7,12,3,5,12,2218,2171,,68.3,100.3,0.336,0.393,0.534,50.5,57.2,10.4,7.9,0.503,18.6,30,0.234
258,Rutgers,29,14,15,0.483,10.07,10.21,7,12,10,7,4,8,1971,1975,,68,99.1,0.312,0.335,0.494,52.6,50.1,9.7,11.5,0.469,15.8,33.6,0.196
259,Sacramento State,28,14,14,0.5,-8.58,-6.82,8,11,8,4,4,10,1984,1930,,69.5,101,0.338,0.283,0.522,50.2,53.2,10.9,9.8,0.491,15.8,28.5,0.231
260,Sacred Heart,32,15,17,0.469,-7.25,-7.48,11,7,10,3,4,13,2558,2509,,74,107.6,0.375,0.354,0.564,53,53.2,7.2,10.7,0.523,17,31.3,0.283
261,Saint Francis (PA),30,17,13,0.567,-8.4,-6.25,12,6,11,3,6,10,2297,2270,,71.2,107.6,0.341,0.362,0.533,52.2,47.3,9.7,8,0.499,14.8,34.2,0.242
262,Saint Joseph's,30,13,17,0.433,-0.05,1.72,6,11,10,5,2,10,2113,2166,,68.6,102.2,0.32,0.452,0.521,48.6,50.7,8,10.1,0.481,12,21.7,0.237
263,Saint Louis,30,19,11,0.633,4.75,1.81,10,7,15,2,4,7,2033,1945,,68.1,99.5,0.419,0.328,0.496,54.2,54.7,11.1,12.1,0.469,16.4,35.6,0.251
264,Saint Mary's (CA),31,20,11,0.645,12.39,3.94,11,5,14,3,5,5,2277,2015,,64.7,113.1,0.299,0.356,0.57,54.4,39.2,9.2,6.7,0.54,14,31.8,0.221
265,Saint Peter's,31,10,21,0.323,-11.87,-6,6,12,7,7,2,14,1941,2123,,64.4,95.3,0.348,0.346,0.523,50.6,42.9,8.3,17.6,0.483,20.2,29.1,0.252
266,Sam Houston State,30,20,10,0.667,-2.54,-5.68,15,2,12,2,7,8,2263,2089,,69.1,106.9,0.264,0.421,0.551,51.2,61.4,10.8,9.3,0.522,15.6,30.1,0.196
267,Samford,31,16,15,0.516,0.54,-1.63,6,12,11,6,5,9,2413,2339,,71.2,106.3,0.342,0.35,0.566,50.3,49.7,9.8,11.1,0.534,17.1,28,0.248
268,San Diego State,30,19,11,0.633,5.6,1.78,11,6,14,3,4,6,2199,2035,,69.1,106.1,0.351,0.371,0.55,52,57.7,8.6,10.4,0.515,16.1,30.7,0.253
269,San Diego,32,19,13,0.594,6.04,3.81,7,9,12,4,5,8,2327,2210,,68,105.3,0.326,0.402,0.563,51.7,57.8,8.5,8.5,0.529,16.4,24.9,0.242
270,San Francisco,30,21,9,0.7,9.97,1.7,9,7,13,3,6,5,2286,2012,,67.2,112.5,0.306,0.394,0.558,52.2,51,9,8.7,0.538,13,30.6,0.201
271,San Jose State,29,4,25,0.138,-14.72,0.93,1,16,4,11,0,11,1905,2326,,71.1,91.6,0.351,0.353,0.493,50.3,59.3,6,5,0.459,19.1,28.9,0.232
272,Santa Clara,30,16,14,0.533,-1.09,1.26,8,8,11,6,4,6,2070,2110,,67.6,100.8,0.345,0.399,0.555,49.4,57.2,6.8,9.2,0.522,18.4,24.3,0.249
273,Savannah State,30,11,19,0.367,-19.8,-8.08,8,8,6,5,3,14,2293,2623,,78.2,97.3,0.252,0.578,0.508,45.9,55.9,9.6,7.5,0.485,17,27.9,0.169
274,Seattle,30,17,13,0.567,-1.13,-4.02,5,10,10,5,4,8,2194,2050,,69.9,104.2,0.348,0.332,0.537,52.5,46,6.3,9.3,0.502,15.5,29.6,0.248
275,Seton Hall,29,17,12,0.586,10.64,8.54,8,9,10,4,3,8,2135,2074,,70.4,103.2,0.338,0.36,0.537,49.6,51.5,9.9,11.4,0.503,15.9,28.5,0.241
276,Siena,31,16,15,0.516,-7.43,-6.23,11,7,7,7,8,7,1987,2024,,61.2,102.6,0.244,0.478,0.531,47,53,9.3,8.3,0.51,13.9,23.5,0.164
277,South Alabama,30,14,16,0.467,-4.52,-2.38,7,10,12,6,2,9,2188,2179,,69,104.4,0.354,0.404,0.558,47.7,54.2,8.7,11.7,0.532,16.9,26.2,0.239
278,South Carolina State,32,7,25,0.219,-16.68,-7.41,5,11,5,5,2,19,2252,2461,,69.5,100.1,0.399,0.306,0.527,50.3,46.6,7.2,5.5,0.479,17.8,32.2,0.295
279,South Carolina Upstate,32,6,26,0.188,-15.06,-4.03,1,16,5,9,1,15,2169,2395,,69.4,96.9,0.262,0.437,0.515,46.7,56,9.2,8.1,0.485,17.3,26.2,0.187
280,South Carolina,30,15,15,0.5,8.24,10,10,7,10,6,4,8,2197,2197,,71.6,101.9,0.357,0.344,0.521,49.6,51.3,8.6,12.7,0.488,16.1,31.9,0.243
281,South Dakota State,31,24,7,0.774,6.71,-4.96,14,2,14,1,7,5,2640,2267,,72.8,117,0.324,0.41,0.621,53.6,50.1,8.6,5.7,0.59,14.6,23.7,0.253
