Rk,School,G,W,L,W-L%,SRS,SOS,W,L,W,L,W,L,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
32,Brown,28,18,10,0.643,0.32,-3.37,6,6,12,3,6,7,2091,1924,,72.6,101.9,0.383,0.399,0.55,50.5,51.7,10.1,11,0.514,16.9,24.3,0.272
33,Bryant,30,10,20,0.333,-14.73,-7.2,7,11,8,6,2,13,2088,2314,,69.2,100.6,0.368,0.421,0.529,47.3,45,7.6,7.5,0.49,16.3,26.7,0.262
34,Bucknell,31,20,11,0.645,0.7,-2.78,13,5,10,3,7,7,2357,2249,,71.2,106.4,0.331,0.453,0.561,49.9,59.2,7.4,9,0.526,15.4,25.7,0.246
35,Buffalo,30,27,3,0.9,15.66,2.17,15,2,13,0,12,3,2550,2125,,74.9,113,0.321,0.433,0.564,52.4,56.3,9.7,10.5,0.538,13.9,31.9,0.223
36,Butler,30,16,14,0.533,11.24,8.67,7,10,12,4,2,8,2171,2094,,67.2,106.8,0.254,0.428,0.548,49,50.4,8.5,6,0.52,14.3,26.2,0.189
37,Cal Poly,28,6,22,0.214,-13.47,-3.05,2,13,4,6,1,14,1848,2091,,66.5,97.2,0.257,0.401,0.498,46.9,42.9,7.4,8.8,0.476,15,26.3,0.166
38,Cal State Bakersfield,29,16,13,0.552,-3.68,-2.02,7,8,9,4,5,7,2080,2046,,67.5,104.8,0.293,0.345,0.513,53.3,45.4,9.6,10.7,0.487,15.8,37.7,0.195
39,Cal State Fullerton,29,14,15,0.483,-1.7,-0.55,10,5,9,2,4,11,2117,2056,,71.3,100.7,0.38,0.307,0.543,50.8,48.2,8.2,8.6,0.508,16.7,23.9,0.266
40,Cal State Northridge,31,13,18,0.419,-6.21,-3.51,7,8,7,8,4,9,2375,2452,,71.8,105.4,0.325,0.312,0.542,48.2,53.2,8.8,11.3,0.523,15,28.1,0.206
41,California Baptist,29,16,13,0.552,-3.6,-4.36,7,8,8,6,7,5,2285,2110,,70.5,109.9,0.311,0.428,0.57,52.1,41.9,6.8,7.1,0.532,15.2,28.3,0.243
42,UC-Davis,29,11,18,0.379,-5.51,-0.58,7,8,7,4,3,12,1897,1982,,67.1,96.2,0.32,0.377,0.529,46.5,51.6,9.3,6.8,0.495,17.8,21.7,0.229
43,UC-Irvine,31,26,5,0.839,5.53,-2.27,14,1,11,2,12,2,2235,1967,,66.3,107,0.3,0.323,0.539,55.2,49.7,8.5,11.1,0.513,15.5,34.7,0.206
44,UC-Riverside,31,9,22,0.29,-10.75,-2.89,3,12,7,7,1,14,2038,2146,,64.5,101.5,0.238,0.416,0.544,50.6,54.1,7.8,5.3,0.523,17.6,26.9,0.165
45,UC-Santa Barbara,29,20,9,0.69,-0.7,-4.81,9,6,12,3,5,6,2129,1900,,65.7,110.8,0.379,0.334,0.548,54.9,54.1,7.6,9.4,0.511,14.3,35.5,0.271
46,University of California,30,8,22,0.267,-2.99,5.72,3,15,7,9,0,10,2070,2331,,68.6,100.1,0.348,0.338,0.526,45,45.4,10.4,9.5,0.487,14.8,23.9,0.252
47,Campbell,31,20,11,0.645,-3,-4.53,12,4,11,3,5,7,2352,2165,,68.1,110.9,0.321,0.484,0.573,47.8,55.5,9.8,10.2,0.538,13.5,23.5,0.244
48,Canisius,30,14,16,0.467,-7.93,-4.06,11,7,5,8,9,5,2122,2238,,68.8,101.9,0.31,0.435,0.536,47.5,58.8,9.3,9.5,0.508,16.3,27.2,0.214
49,Central Arkansas,30,12,18,0.4,-11.37,-3.59,7,10,8,5,4,13,2175,2303,,72.6,99,0.339,0.407,0.536,48.1,57.1,8.2,10.5,0.5,17.8,24.5,0.246
